Station Download-Date Data-date
DNTH 2023/07/17 2018/04/20
DNTH 2023/07/17 2018/04/19
DNTH 2023/07/17 2018/04/18
DNTH 2023/07/17 2018/04/17
DNTH 2023/07/17 2018/04/16
DNTH 2023/07/17 2018/04/15
DNTH 2023/07/17 2018/04/14
DNTH 2023/07/17 2018/04/13
DNTH 2023/07/17 2018/04/12
DNTH 2023/07/17 2018/04/11
DNTH 2023/07/17 2018/04/10
DNTH 2023/07/17 2018/04/09
DNTH 2023/07/17 2018/04/08
DNTH 2023/07/17 2018/04/07
DNTH 2023/07/17 2018/04/06
DNTH 2023/07/17 2018/04/05
DNTH 2023/07/17 2018/04/04
DNTH 2023/07/17 2018/04/03
DNTH 2023/07/17 2018/04/02
DNTH 2023/07/17 2018/04/01
DNTH 2023/07/17 2018/03/31
DNTH 2023/07/17 2018/03/30
DNTH 2023/07/17 2018/03/29
DNTH 2023/07/17 2018/03/28
DNTH 2023/07/17 2018/03/27
DNTH 2023/07/17 2018/03/26
DNTH 2023/07/17 2018/03/25
DNTH 2023/07/17 2018/03/24
DNTH 2023/07/17 2018/03/23
DNTH 2023/07/17 2018/03/22
DNTH 2023/07/17 2018/03/21
DNTH 2023/07/17 2018/03/20
DNTH 2023/07/17 2018/03/19
DNTH 2023/07/17 2018/03/18
DNTH 2023/07/17 2018/03/17
DNTH 2023/07/17 2018/03/16
DNTH 2023/07/17 2018/03/15
DNTH 2023/07/17 2018/03/14
DNTH 2023/07/17 2018/03/13
DNTH 2023/07/17 2018/03/12
DNTH 2023/07/17 2018/03/11
DNTH 2023/07/17 2018/03/10
DNTH 2023/07/17 2018/03/09
DNTH 2023/07/17 2018/03/08
DNTH 2023/07/17 2018/03/07
DNTH 2023/07/17 2018/03/06
DNTH 2023/07/17 2018/03/05
DNTH 2023/07/17 2018/03/04
DNTH 2023/07/17 2018/03/03
DNTH 2023/07/17 2018/03/02
DNTH 2023/07/17 2018/03/01
DNTH 2023/07/17 2018/02/28
DNTH 2023/07/17 2018/02/27
DNTH 2023/07/17 2018/02/26
DNTH 2023/07/17 2018/02/25
DNTH 2023/07/17 2018/02/24
DNTH 2023/07/17 2018/02/23
DNTH 2023/07/17 2018/02/22
DNTH 2023/07/17 2018/02/21
DNTH 2023/07/17 2018/02/20
DNTH 2023/07/17 2018/02/19
DNTH 2023/07/17 2018/02/18
DNTH 2023/07/17 2018/02/17
DNTH 2023/07/17 2018/02/16
DNTH 2023/07/17 2018/02/15
DNTH 2023/07/17 2018/02/14
DNTH 2023/07/17 2018/02/13
DNTH 2023/07/17 2018/02/12
DNTH 2023/07/17 2018/02/11
DNTH 2023/07/17 2018/02/10
DNTH 2023/07/17 2018/02/09
DNTH 2023/07/17 2018/02/08
DNTH 2023/07/17 2018/02/07
DNTH 2023/07/17 2018/02/06
DNTH 2023/07/17 2018/02/05
DNTH 2023/07/17 2018/02/04
DNTH 2023/07/17 2018/02/03
DNTH 2023/07/17 2018/02/02
DNTH 2023/07/17 2018/02/01
DNTH 2023/07/17 2018/01/31
DNTH 2023/07/17 2018/01/30
DNTH 2023/07/17 2018/01/29
DNTH 2023/07/17 2018/01/28
DNTH 2023/07/17 2018/01/27
DNTH 2023/07/17 2018/01/26
DNTH 2023/07/17 2018/01/25
DNTH 2023/07/17 2018/01/24
DNTH 2023/07/17 2018/01/23
DNTH 2023/07/17 2018/01/22
DNTH 2023/07/17 2018/01/21
DNTH 2023/07/17 2018/01/20
DNTH 2023/07/17 2018/01/19
DNTH 2023/07/17 2018/01/18
DNTH 2023/07/17 2018/01/17
DNTH 2023/07/17 2018/01/16
DNTH 2023/07/17 2018/01/15
DNTH 2023/07/17 2018/01/14
DNTH 2023/07/17 2018/01/13
DNTH 2023/07/17 2018/01/12
DNTH 2023/07/17 2018/01/11
DNTH 2023/07/17 2018/01/10
DNTH 2023/07/17 2018/01/09
DNTH 2023/07/17 2018/01/08
DNTH 2023/07/17 2018/01/07
DNTH 2023/07/17 2018/01/06
DNTH 2023/07/17 2018/01/05
DNTH 2023/07/17 2018/01/04
DNTH 2023/07/17 2018/01/03
DNTH 2023/07/17 2018/01/02
